epoch: 0 batch_idx:1, train_loss: 0.7608590424060822
epoch: 0 batch_idx:501, train_loss: 1.1936399665525919
epoch: 0 batch_idx:1001, train_loss: 1.174581955959132
epoch: 0 batch_idx:1501, train_loss: 1.1790804190605073
epoch: 0 batch_idx:2001, train_loss: 1.179724809542675
epoch: 0 batch_idx:2501, train_loss: 1.1713559927574018
epoch: 0 batch_idx:3001, train_loss: 1.1706894174722398
epoch: 0 batch_idx:3501, train_loss: 1.1777925829811637
epoch: 0 batch_idx:4001, train_loss: 1.181004692826821
epoch: 0 batch_idx:4501, train_loss: 1.1794620342063826
epoch: 0 batch_idx:5001, train_loss: 1.1745681659532388
epoch: 0 batch_idx:5501, train_loss: 1.1750885306043952
epoch: 0 batch_idx:6001, train_loss: 1.1731113202780965
epoch: 0 batch_idx:6501, train_loss: 1.1716717856211198
epoch: 0 batch_idx:7001, train_loss: 1.173593714212655
epoch: 0 batch_idx:7501, train_loss: 1.1762983720371116
epoch: 0 batch_idx:8001, train_loss: 1.1723729370111198
epoch: 0 batch_idx:8501, train_loss: 1.1713437711133756
epoch: 0 batch_idx:9001, train_loss: 1.1683062520051717
epoch: 0 batch_idx:9501, train_loss: 1.167902624953536
epoch: 0 batch_idx:10001, train_loss: 1.1675707182179318
epoch: 0 batch_idx:10501, train_loss: 1.1654448245793856
epoch: 0 batch_idx:11001, train_loss: 1.1664697984986214
epoch: 0 batch_idx:11501, train_loss: 1.1630036843787952
epoch: 0 batch_idx:12001, train_loss: 1.1637404429625398
epoch: 0 batch_idx:12501, train_loss: 1.1615501793442398
epoch: 0 batch_idx:13001, train_loss: 1.1622805713498388
epoch: 0 batch_idx:13501, train_loss: 1.1617594615841074
epoch: 0 batch_idx:14001, train_loss: 1.1596134742533253
epoch: 0 batch_idx:14501, train_loss: 1.1589891671374284
epoch: 0 batch_idx:15001, train_loss: 1.158348046858234
epoch: 0 batch_idx:15501, train_loss: 1.157859796670002
epoch: 0 batch_idx:16001, train_loss: 1.1564419203539271
epoch: 0 batch_idx:16501, train_loss: 1.1569320811062664
epoch: 0 batch_idx:17001, train_loss: 1.1563954668725873
epoch: 0 batch_idx:17501, train_loss: 1.1547344042042653
epoch: 0 batch_idx:18001, train_loss: 1.1552417544378513
epoch: 0 batch_idx:18501, train_loss: 1.1540732998746064
epoch: 0 batch_idx:19001, train_loss: 1.153578006777496
epoch: 0 batch_idx:19501, train_loss: 1.1522198417342966
epoch: 0 batch_idx:20001, train_loss: 1.1518685764823717
epoch: 0 batch_idx:20501, train_loss: 1.1502690041684092
epoch: 0 batch_idx:21001, train_loss: 1.15117480398001
epoch: 0 batch_idx:21501, train_loss: 1.1515545239003222
epoch: 0 batch_idx:22001, train_loss: 1.152039833608427
epoch: 0 batch_idx:22501, train_loss: 1.152004292664994
epoch: 0 batch_idx:23001, train_loss: 1.1508277768241972
epoch: 0 batch_idx:23501, train_loss: 1.1498065934912225
epoch: 0 batch_idx:24001, train_loss: 1.1497498627354215
epoch: 0 batch_idx:24501, train_loss: 1.1490011003813687
epoch: 0 batch_idx:25001, train_loss: 1.1476579465480017
epoch: 0 batch_idx:25501, train_loss: 1.1466651040958373
epoch: 0 batch_idx:26001, train_loss: 1.1461547373921785
epoch: 0 batch_idx:26501, train_loss: 1.146312465562111
epoch: 0 batch_idx:27001, train_loss: 1.1457810565508897
epoch: 0 batch_idx:27501, train_loss: 1.1442826132675856
epoch: 0 batch_idx:28001, train_loss: 1.1432085287475204
epoch: 0 batch_idx:28501, train_loss: 1.1433172930020545
epoch: 0 batch_idx:29001, train_loss: 1.142646603985521
epoch: 0 batch_idx:29501, train_loss: 1.1416570212716677
epoch: 0 batch_idx:30001, train_loss: 1.139805357252409
epoch: 0 batch_idx:30501, train_loss: 1.1398657615687868
epoch: 0 batch_idx:31001, train_loss: 1.1396699925263838
epoch: 0 batch_idx:31501, train_loss: 1.1384779114240782
epoch: 0 batch_idx:32001, train_loss: 1.137802013888133
epoch: 0 batch_idx:32501, train_loss: 1.1376298785081052
epoch: 0 batch_idx:33001, train_loss: 1.1367377147967914
epoch: 0 batch_idx:33501, train_loss: 1.1372554735129412
epoch: 0 batch_idx:34001, train_loss: 1.1373688151519363
epoch: 0 batch_idx:34501, train_loss: 1.1372948128675922
epoch: 0 batch_idx:35001, train_loss: 1.1370797684283238
epoch: 0 batch_idx:35501, train_loss: 1.1373918981120297
epoch: 0 batch_idx:36001, train_loss: 1.1367394784359626
epoch: 0 batch_idx:36501, train_loss: 1.1365175346715506
epoch: 0 batch_idx:37001, train_loss: 1.1362026158422316
epoch: 0 batch_idx:37501, train_loss: 1.1356690752231506
epoch: 0 batch_idx:38001, train_loss: 1.1354148828891681
epoch: 0 batch_idx:38501, train_loss: 1.1347220346130955
epoch: 0 batch_idx:39001, train_loss: 1.1340427740160515
epoch: 0 batch_idx:39501, train_loss: 1.1328236948061903
epoch: 0 batch_idx:40001, train_loss: 1.1320977004766033
epoch: 0 batch_idx:40501, train_loss: 1.131899307029195
epoch: 0 batch_idx:41001, train_loss: 1.131601475326358
epoch: 0 batch_idx:41501, train_loss: 1.1310756956302526
epoch: 0 batch_idx:42001, train_loss: 1.13059472786915
epoch: 0 batch_idx:42501, train_loss: 1.1298577463592225
epoch: 0 batch_idx:43001, train_loss: 1.1295450312393
epoch: 0 batch_idx:43501, train_loss: 1.1290143590520556
epoch: 0 batch_idx:44001, train_loss: 1.1287121204112653
epoch: 0 batch_idx:44501, train_loss: 1.128468757660038
epoch: 0 batch_idx:45001, train_loss: 1.1278147071624707
epoch: 0 batch_idx:45501, train_loss: 1.1273101546056825
epoch: 0 batch_idx:46001, train_loss: 1.1268406803209634
epoch: 0 batch_idx:46501, train_loss: 1.1265477072157508
epoch: 0 batch_idx:47001, train_loss: 1.1268135027723762
epoch: 0 batch_idx:47501, train_loss: 1.1267321891965028
epoch: 0 batch_idx:48001, train_loss: 1.126873262318293
epoch: 0 batch_idx:48501, train_loss: 1.1262441096669311
epoch: 0 batch_idx:49001, train_loss: 1.1264282980121931
epoch: 0 batch_idx:49501, train_loss: 1.125778290104182
epoch: 0 batch_idx:50001, train_loss: 1.1248389741843619
epoch: 0 batch_idx:50501, train_loss: 1.1241800246258529
epoch: 0 batch_idx:51001, train_loss: 1.123649110493094
epoch: 0 batch_idx:51501, train_loss: 1.123280585346134
epoch: 0 batch_idx:52001, train_loss: 1.1230919060537556
epoch: 0 batch_idx:52501, train_loss: 1.1230345092017346
epoch: 0 batch_idx:53001, train_loss: 1.1230817125911199
epoch: 0 batch_idx:53501, train_loss: 1.1222489989860038
epoch: 0 batch_idx:54001, train_loss: 1.1216437017927314
epoch: 0 batch_idx:54501, train_loss: 1.121367976916099
epoch: 0 batch_idx:55001, train_loss: 1.12057056599716
epoch: 0 batch_idx:55501, train_loss: 1.120627808815276
epoch: 0 batch_idx:56001, train_loss: 1.1207250406539724
epoch: 0 batch_idx:56501, train_loss: 1.1204842679432687
epoch: 0 batch_idx:57001, train_loss: 1.1202014345785036
epoch: 0 batch_idx:57501, train_loss: 1.1197935030754171
epoch: 0 batch_idx:58001, train_loss: 1.1196021689758424
epoch: 0 batch_idx:58501, train_loss: 1.1196455565777057
epoch: 0 batch_idx:59001, train_loss: 1.119502948477448
epoch: 0 batch_idx:59501, train_loss: 1.118876669105551
epoch: 0 batch_idx:60001, train_loss: 1.1188221086995427
epoch: 0 batch_idx:60501, train_loss: 1.118714044814169
epoch: 0 batch_idx:61001, train_loss: 1.1181100923419516
epoch: 0 batch_idx:61501, train_loss: 1.1179687302333567
epoch: 0 batch_idx:62001, train_loss: 1.1172549319021963
epoch: 0 batch_idx:62501, train_loss: 1.116992883370938
epoch: 0 batch_idx:63001, train_loss: 1.1169845169341004
epoch: 0 batch_idx:63501, train_loss: 1.117162906568789
epoch: 0 batch_idx:64001, train_loss: 1.1170864923975892
epoch: 0 batch_idx:64501, train_loss: 1.1166711472577182
epoch: 0 batch_idx:65001, train_loss: 1.116677807770861
epoch: 0 batch_idx:65501, train_loss: 1.116843001740767
epoch: 0 batch_idx:66001, train_loss: 1.116484356253815
epoch: 0 batch_idx:66501, train_loss: 1.1163309653299958
epoch: 0 batch_idx:67001, train_loss: 1.116240155105807
epoch: 0 batch_idx:67501, train_loss: 1.1159539049467604
epoch: 0 batch_idx:68001, train_loss: 1.1157228957887382
epoch: 0 batch_idx:68501, train_loss: 1.1156128528656566
epoch: 0 batch_idx:69001, train_loss: 1.115107986887896
epoch: 0 batch_idx:69501, train_loss: 1.115174147717039
epoch: 0 batch_idx:70001, train_loss: 1.114930794334711
epoch: 0 batch_idx:70501, train_loss: 1.1152319583999997
epoch: 0 batch_idx:71001, train_loss: 1.1149199174173001
epoch: 0 batch_idx:71501, train_loss: 1.1148331296896687
epoch: 0 batch_idx:72001, train_loss: 1.114494976861929
epoch: 0 batch_idx:72501, train_loss: 1.1145049917160528
epoch: 0 batch_idx:73001, train_loss: 1.11409136971527
epoch: 0 batch_idx:73501, train_loss: 1.114242474668786
epoch: 0 batch_idx:74001, train_loss: 1.1136215545194454
epoch: 0 batch_idx:74501, train_loss: 1.1135182812591833
epoch: 0 batch_idx:75001, train_loss: 1.1131316292275468
epoch: 0 batch_idx:75501, train_loss: 1.113361885870138
epoch: 0 batch_idx:76001, train_loss: 1.113376390516893
epoch: 0 batch_idx:76501, train_loss: 1.1127779761116987
epoch: 0 batch_idx:77001, train_loss: 1.112455009270385
epoch: 0 batch_idx:77501, train_loss: 1.1115993848156558
epoch: 0 batch_idx:78001, train_loss: 1.1111994374064886
epoch: 0 batch_idx:78501, train_loss: 1.111011063741015
epoch: 0 batch_idx:79001, train_loss: 1.1107504011955383
epoch: 0 batch_idx:79501, train_loss: 1.1108106252944374
epoch: 0 batch_idx:80001, train_loss: 1.1104130152495293
epoch: 0 batch_idx:80501, train_loss: 1.1099443359824068
epoch: 0 batch_idx:81001, train_loss: 1.1095304130763755
epoch: 0 batch_idx:81501, train_loss: 1.1088716461658163
epoch: 0 batch_idx:82001, train_loss: 1.1083128501611974
epoch: 0 batch_idx:82501, train_loss: 1.1079493989766322
epoch: 0 batch_idx:83001, train_loss: 1.1079047957196404
epoch: 0 batch_idx:83501, train_loss: 1.107544031887754
epoch: 0 batch_idx:84001, train_loss: 1.1072273891809974
epoch: 0 batch_idx:84501, train_loss: 1.1066935847612924
epoch: 0 batch_idx:85001, train_loss: 1.1061720302085556
epoch: 0 batch_idx:85501, train_loss: 1.1054672920421043
epoch: 0 batch_idx:86001, train_loss: 1.1052223305808684
epoch: 0 batch_idx:86501, train_loss: 1.1051255016944384
epoch: 0 batch_idx:87001, train_loss: 1.1049238640664918
epoch: 0 batch_idx:87501, train_loss: 1.1044200898488759
epoch: 0 batch_idx:88001, train_loss: 1.1042213191701373
epoch: 0 batch_idx:88501, train_loss: 1.103813501744801
epoch: 0 batch_idx:89001, train_loss: 1.1036202908922181
epoch: 0 batch_idx:89501, train_loss: 1.1029685427493572
epoch: 0 batch_idx:90001, train_loss: 1.1025590933494507
epoch: 0 batch_idx:90501, train_loss: 1.1020531936063744
epoch: 0 batch_idx:91001, train_loss: 1.1017613340223642
epoch: 0 batch_idx:91501, train_loss: 1.101506132464058
epoch: 0 batch_idx:92001, train_loss: 1.1015192204989772
epoch: 0 batch_idx:92501, train_loss: 1.1010129577057535
epoch: 0 batch_idx:93001, train_loss: 1.1005671259633842
epoch: 0 batch_idx:93501, train_loss: 1.1002465828739787
epoch: 0 batch_idx:94001, train_loss: 1.0998379466268577
epoch: 0 batch_idx:94501, train_loss: 1.099257521924389
epoch: 0 batch_idx:95001, train_loss: 1.0989949838852981
epoch: 0 batch_idx:95501, train_loss: 1.0988852944700551
epoch: 0 batch_idx:96001, train_loss: 1.0987423134485907
epoch: 0 batch_idx:96501, train_loss: 1.0985125013850503
epoch: 0 batch_idx:97001, train_loss: 1.098351081277145
epoch: 0 batch_idx:97501, train_loss: 1.0978341161495844
epoch: 0 batch_idx:98001, train_loss: 1.0975437567328683
epoch: 0 batch_idx:98501, train_loss: 1.0974467036831792
epoch: 0 batch_idx:99001, train_loss: 1.097459670459848
epoch: 0 batch_idx:99501, train_loss: 1.0972675830246943
epoch: 0 batch_idx:100001, train_loss: 1.096915311246825
epoch: 0 batch_idx:100501, train_loss: 1.0967571660745907
epoch: 0 batch_idx:101001, train_loss: 1.096591971122168
epoch: 0 batch_idx:101501, train_loss: 1.096231945161548
epoch: 0 batch_idx:102001, train_loss: 1.0960361240955039
epoch: 0 batch_idx:102501, train_loss: 1.0956395669723944
epoch: 0 batch_idx:103001, train_loss: 1.0953692091866318
epoch: 0 batch_idx:103501, train_loss: 1.094983549048625
epoch: 0 batch_idx:104001, train_loss: 1.094769020633861
epoch: 0 batch_idx:104501, train_loss: 1.094617777596013
epoch: 0 batch_idx:105001, train_loss: 1.0944000870738095
epoch: 0 batch_idx:105501, train_loss: 1.0937892873508823
epoch: 0 batch_idx:106001, train_loss: 1.0935663672272915
